resource_type,ViolationCount
cluster_autoscaler_irsa_role,31
projects_bu2_nonprod,31
projects_bu2_prod,31
projects_bu1_prod,31
opensearch,30
"sa_p_notebook_permissions[""roles/iam",30
eks_admins_iam_role,30
eks_admins_iam_group,30
user1_iam_user,30
aws_load_balancer_controller_irsa_role,30
hmpps_template_typescript,30
allow_eks_access_iam_policy,30
allow_assume_eks_admins_iam_policy,30
cloud_storage,29
aws_dms_replication_instance,28
project,28
aws_api_gateway_method_settings,28
karpenter,28
oci_objectstorage_bucket,28
account_map,28
secrets,27
aws_emr_cluster,27
redis,27
aws_s3_bucket_policy,27
azurerm_databricks_workspace,27
acm,27
aws_lambda_permission,27
aws_ami,27
prometheus,26
interconnect_attachment1_region2,26
interconnect_attachment1_region1,26
interconnect_attachment2_region2,26
interconnect_attachment2_region1,26
aws_route_table,25
google_compute_instance_from_template,25
project-services,25
aws_sns_topic_policy,24
asm,24
google_dataproc_cluster,24
aws_vpc_security_group_egress_rule,24
kubernetes_cluster_role_binding,24
la_gce,24
"organization_policies_type_boolean[""iam",24
azurerm_web_application_firewall_policy,23
app_infra_cloudbuild_project,23
eks_blueprints,23
serviceaccount_github,23
azurerm_frontdoor_firewall_policy,23
kubernetes_service,23
kubernetes_addons,23
aws_ami_copy,23
private_service_connect,22
azurerm_batch_account,22
google_storage_bucket_iam_member,22
aws_cloudformation_stack,22
google_workbench_instance,22
gke-project-2,21
gke-network,21
services,21
s3,21
gke-project-1,21
"int_test_asm[""roles/composer",20
cloudfront,20
gke-project-asm,20
azurerm_recovery_services_vault,20
domain_events_queue,19
public_ip,19
domain_events_dlq,19
azuread_application_federated_identity_credential,18
prisoner-event-dlq,18
prisoner-event-queue,18
vmss,18
aws_athena_workgroup,18
tf_private_pool,18
"service-master[""roles/iam",18
aws_networkfirewall_firewall,18
"org_admins_group[""roles/iam",18
azurerm_cdn_endpoint,18
azurerm_frontdoor,18
aws_msk_cluster,17
vpn_ha_agent_to_onprem,17
cicd_project,17
github_actions_secret,17
secret,17
"org_admins_group[""roles/securitycenter",17
aws_workspaces_workspace,17
dns_hub_vpc,16
aws_redshift_parameter_group,16
aws_emr_security_configuration,16
dns_hub_region2_router2,16
natgateway,16
azurerm_synapse_spark_pool,16
aws_dms_endpoint,16
refresh_clamav_serviceaccount,16
"organization_policies_type_boolean[""sql",16
"organization_policies_type_boolean[""storage",16
wi,16
workload_identity,16
la_vpc,16
aws_glue_security_configuration,16
dns-forwarding-zone,16
la_fw,16
aws_network_acl_rule,16
jumpbox,16
dns_hub_region2_router1,16
bootstrap,16
dns_hub_region1_router2,16
dns_hub_region1_router1,16
google_vertex_ai_featurestore,15
google_dialogflow_cx_agent,15
azurerm_eventgrid_domain,15
aws_default_vpc,15
namelaw,15
vpc_ai_notebook[0],15
gcp-network,15
rds-instance,15
secrets_manager_multiple_secrets,14
dns_hub,14
"sa_p_workbench_permissions[""roles/iam",14
workload_identity_existing_ksa,14
azurerm_storage_table,14
"project_parent_iam[""roles/iam",14
oci,14
fgt,14
infra_pipelines,14
aws_codepipeline,13
github_actions_service_account,13
namespoke,13
namehub,13
cloud-nat,13
aws_fsx_lustre_file_system,13
azurerm_eventgrid_topic,12
cai_monitoring,12
azure_subnet_addrs,12
google_vertex_ai_dataset,12
aws_dax_cluster,12
fgt_ha,12
windows_server[0],12
azurerm_spring_cloud_service,12
aws_api_gateway_deployment,12
aws_api_gateway_domain_name,12
gitlab_project,12
la_ide,12
allowed_role_map,12
"service_account_roles[""roles/iam",12
windows_server[1],12
windows_server[2],12
la_serverless_vpc_access,12
aws_iam_group_policy,12
oci_containerengine_cluster,12
nsg1,12
aws_scheduler_schedule,12
redis-elasticache,11
dns_delegated,11
sqs,11
vnet,11
bastion_linux,11
google_dialogflow_cx_webhook,11
google_document_ai_processor,11
dns_gbl_delegated,10
vdbench_configure,10
fgt_config,10
kubernetes_service_v1,10
la_api_batch,10
deploy_elastic_search[0],10
deploy_eck_operator,10
deploy_eck_crds,10
iam_roles,10
"webapp_identity_permissions[""roles/iam",10
workload_identity_existing_gsa,10
aws_transfer_server,10
s3_logging_bucket,10
"servacct-compute-add-permissions[""roles/iam",10
aws_batch_job_definition,10
aws_glue_job,10
build_terraform_image,10
"sa_p_ngs_permissions[""roles/iam",10
org_domain_restricted_sharing,10
google_cloud_run_service_iam_binding,10
s3_snapshot_bucket,9
aws_backup_vault,9
base_shared_vpc[0],9
tf_cloud_builder,9
interconnect,9
rds_instance,9
google_cloudbuild_worker_pool,9
azurerm_postgresql_flexible_server_firewall_rule,9
aws_ec2_transit_gateway,9
required_group,9
utils,9
scc_notifications,9
tf_source,9
bootstrap_csr_repo,9
kops_metadata,9
kubernetes_secret,9
seed_bootstrap,9
org_vm_external_ip_access,9
org_secrets,9
denied_role_map,9
org_audit_logs,9
optional_group,9
github-automation,9
label,9
azurerm_spring_cloud_api_portal,8
base_network_hub,8
redis_cluster,8
xlb,8
pushgateway,8
nfsfiler,8
gcp_projects_state_bucket,8
cvl_domain_events_dead_letter_queue,8
cvl_domain_events_queue,8
firewall_policy,8
"tf_workspace[""env""]",8
"tf_workspace[""net""]",8
"tf_workspace[""org""]",8
"tf_workspace[""proj""]",8
