RepoId,Name,CloneUrl,CloudProvider,TotalResources
774819427,terraform-google-kubernetes-engine-astrafy,https://github.com/astrafy/terraform-google-kubernetes-engine-astrafy.git,GCP,330
780459767,new-repo-469,https://github.com/Aditya3255/new-repo-469.git,GCP,330
193164839,terraform-google-sap,https://github.com/terraform-google-modules/terraform-google-sap.git,GCP,326
444074957,cloud-foundation-fabric,https://github.com/00inboxtest/cloud-foundation-fabric.git,GCP,323
671365713,terraform-infra-gcp,https://github.com/somaz94/terraform-infra-gcp.git,GCP,323
587709397,RadLab,https://github.com/gad-kaleidoo/RadLab.git,GCP,315
589198694,Rad-Lab,https://github.com/cloudsuport/Rad-Lab.git,GCP,315
456800763,gcp-manifests,https://github.com/govargo/gcp-manifests.git,GCP,313
600240016,cloud-hackathons,https://github.com/GoogleCloudPlatform/cloud-hackathons.git,GCP,312
731902387,terraform-google-kubernetes-engine,https://github.com/AtharvaWathodkar/terraform-google-kubernetes-engine.git,GCP,312
718248110,k8s-helloapp,https://github.com/amitn16/k8s-helloapp.git,GCP,303
400654070,cloud-foundation-fabric,https://github.com/Rpb1980/cloud-foundation-fabric.git,GCP,292
573043621,rad-lab,https://github.com/edu-google/rad-lab.git,GCP,289
610585968,csa-fw-microsegmentation,https://github.com/GCP-Architecture-Guides/csa-fw-microsegmentation.git,GCP,285
220532491,terraform_client_sap_modules_v12,https://github.com/arvindpai/terraform_client_sap_modules_v12.git,GCP,284
426666497,cft,https://github.com/rot67/cft.git,GCP,284
439692424,terraform-gcp-foundation,https://github.com/GCP-LIONTECH-PROS/terraform-gcp-foundation.git,GCP,283
460122604,gcp_foundations_book,https://github.com/haggman/gcp_foundations_book.git,GCP,282
444075026,terraform-example-foundation,https://github.com/00inboxtest/terraform-example-foundation.git,GCP,278
457371945,cftdeployment,https://github.com/LRomp/cftdeployment.git,GCP,278
66314075,k8s.io,https://github.com/kubernetes/k8s.io.git,GCP,277
390310122,sitikantharath,https://github.com/sitikantharath/sitikantharath.git,GCP,277
782198769,terraform-google-modules,https://github.com/CloudLandingZone/terraform-google-modules.git,GCP,274
256166897,fortinet-gcp-solutions,https://github.com/40net-cloud/fortinet-gcp-solutions.git,GCP,268
748872527,python-bigquery-dataframes,https://github.com/sonakshi-gcp/python-bigquery-dataframes.git,GCP,258
421488186,tf-landing-zone,https://github.com/skalolazka/tf-landing-zone.git,GCP,254
449319895,terraform-google-kubernetes-engine,https://github.com/Kishorem05/terraform-google-kubernetes-engine.git,GCP,250
530234778,terraform-gcp-foundations,https://github.com/torpu2017/terraform-gcp-foundations.git,GCP,248
422383880,terraform-google-kubernetes-engine,https://github.com/Nixon120/terraform-google-kubernetes-engine.git,GCP,246
429942249,gks-terrafrom,https://github.com/Wills2607/gks-terrafrom.git,GCP,246
438972041,GCP-UBERNATES-MODULES,https://github.com/GCP-LIONTECH-PROS/GCP-UBERNATES-MODULES.git,GCP,246
444075501,terraform-google-kubernetes-engine,https://github.com/00inboxtest/terraform-google-kubernetes-engine.git,GCP,246
640711396,terraform-lab-foundation,https://github.com/neorival67/terraform-lab-foundation.git,GCP,246
403334794,him-gp-tf-gke,https://github.com/Girish-pingala/him-gp-tf-gke.git,GCP,243
368120992,terraform-google-kubernetes-engine,https://github.com/gopalselvam/terraform-google-kubernetes-engine.git,GCP,241
312075630,idf_deploy,https://github.com/lsst/idf_deploy.git,GCP,240
394590684,terraform-google-kubernetes-engine,https://github.com/KbansalMA23/terraform-google-kubernetes-engine.git,GCP,236
285259364,terraform-google-kubernetes-engine,https://github.com/cts-terraform-modules/terraform-google-kubernetes-engine.git,GCP,235
390600082,terraform-google-realtime-asset-monitor,https://github.com/BrunoReboul/terraform-google-realtime-asset-monitor.git,GCP,231
767959700,work,https://github.com/somasekar1309/work.git,GCP,225
577367696,platform-engineering,https://github.com/GoogleCloudPlatform/platform-engineering.git,GCP,223
54142870,kubernetes-engine-samples,https://github.com/GoogleCloudPlatform/kubernetes-engine-samples.git,GCP,213
505691004,Linux-Command-Line-Tools,https://github.com/minhthinhls/Linux-Command-Line-Tools.git,GCP,208
