RepoId,CloudProvider,TotalViolations
438972041,GCP,229
444075501,GCP,229
640711396,GCP,375
403334794,GCP,5
368120992,GCP,226
312075630,GCP,107
394590684,GCP,231
285259364,GCP,231
390600082,GCP,51
767959700,GCP,202
577367696,GCP,81
54142870,GCP,307
505691004,GCP,299
797972301,GCP,84
296041737,GCP,151
332576862,GCP,162
313146670,GCP,230
348885560,GCP,51
832089959,GCP,214
577805845,GCP,189
414313597,GCP,120
272886683,GCP,192
225491284,GCP,173
554681485,GCP,166
163673165,GCP,54
778844260,GCP,268
562480878,GCP,180
615704403,GCP,181
716495279,GCP,181
